"Sample";"Zr";"Nb";"Ni";"Fe";"Cr";"Fe+Cr";"Sn";"Mo";"Cu";"O2";"Si";"Tau. ч";"T.°C";"P";"Env";"Alloy ";"ln(K)"
"39 S";97.0000000;2.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.6318560
"38 S";97.5000000;1.87000;0.00000;0.63000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.5088940
"23 S";98.5000000;0.37000;0.00000;1.13000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.4068451
"22 S";99.0000000;0.25000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-8.2072601
"293 S";98.9440002;0.91000;0.00500;0.02600;0.01000;0.00000;0.00000;0.00500;0.00000;0.10000;0.00000;10000;400;250;"steam";"Zr-Nb";-8.0013800
"40 S";96.0000000;3.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.7517252
"25 S";97.5000000;0.63000;0.00000;1.87000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.2502456
"32 S";97.5000000;1.25000;0.00000;1.25000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-7.0663605
"30 S";98.5000000;0.75000;0.00000;0.75000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;400;250;"steam";"Zr-Nb";-6.7564659
"352 S";98.8000031;0.80000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-5.8861041
"354 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;10536;400;250;"steam";"Zr-Nb";-5.5514193
"349 S";98.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;2225;350;168;"steam";"Zr-Nb";-5.2182746
"346 S";98.5000000;1.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3000;350;170;"steam";"Zr-Nb";-5.1805344
"350 S";98.7799988;1.00000;0.00000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12000;0.00000;14400;360;186;"steam";"Zr-Nb";-5.1382318
"357 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;9103;360;186;"steam";"Zr-Nb";-5.1276374
"175 S";99.6999969;0.10000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-5.0994663
"345 S";99.0000000;1.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3504;360;186;"steam";"Zr-Nb";-5.0751739
"181 S";99.6999969;0.20000;0.10000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.9103374
"176 S";99.4000015;0.20000;0.40000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.7307334
"183 S";99.2050018;0.53000;0.26500;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.5972018
"177 S";99.2050018;0.26500;0.53000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.5189924
"179 S";98.8000031;0.40000;0.80000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.3528562
"184 S";99.0009995;0.66600;0.33300;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.3466597
"187 S";98.0000000;1.35000;0.65000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.2686977
"182 S";99.4000015;0.40000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-4.2260489
"178 S";99.0009995;0.33300;0.66600;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1000;400;250;"steam";"Zr-Nb";-3.9120231
